vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,4076,1.333,8.333,0.036,0.504,0.148
200,8057,2.0,14.0,0.202,2.011,1.519
300,12368,1.667,10.0,0.237,2.435,0.765
400,16192,2.0,18.333,0.456,5.929,3.734
500,20601,1.667,10.0,0.48,4.282,5.619
600,24532,1.667,15.0,0.56,8.468,0.621
700,28771,2.0,5.0,0.962,3.404,1.518
800,32552,1.667,15.0,0.836,11.526,12.301
900,36826,1.333,16.0,0.674,15.891,51.912
1000,40883,1.0,36.333,0.332,41.988,58.324
