vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,5113,2.0,11.0,0.104,0.826,0.306
200,10187,1.667,4.0,0.172,0.721,1.175
300,15216,2.0,12.667,0.425,3.819,0.496
400,20506,1.667,4.0,0.414,1.718,5.177
500,25614,2.0,24.0,0.861,15.092,15.225
600,30481,1.333,18.0,0.446,12.668,11.98
700,35527,2.0,26.667,1.097,22.499,14.352
800,40619,1.333,17.667,0.717,18.947,47.858
900,46054,2.0,23.0,1.522,26.091,19.732
1000,50962,2.0,22.0,1.933,26.944,13.673
