vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,1950,4.667,6.0,0.026,0.065,0.12
100,7981,4.667,1.0,0.177,0.067,0.141
150,17977,6.333,9.333,0.652,1.28,2.516
200,31914,6.333,10.667,1.154,3.017,8.757
250,49824,6.333,12.667,1.973,5.363,1.433
300,71739,7.667,7.0,3.042,4.315,8.728
350,97645,7.667,10.0,7.633,11.576,20.703
400,127755,7.333,7.0,7.383,9.179,3.6
450,161833,7.667,14.0,11.225,27.452,63.384
500,199586,7.0,14.333,14.207,38.476,128.579
