vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,2450,8.0,3.0,0.068,0.046,0.048
100,9900,6.333,22.667,0.325,1.42,0.838
150,22350,7.333,15.667,0.803,2.225,1.411
200,39800,7.333,24.0,1.897,7.023,1.514
250,62250,8.667,32.667,3.738,17.59,24.082
300,89700,7.667,10.0,5.111,8.523,42.088
350,122150,11.667,21.0,12.818,28.684,70.66
400,159600,10.0,17.0,11.781,26.47,44.271
450,202050,8.667,8.0,16.071,19.724,4.435
500,249500,6.333,14.0,16.825,46.554,26.769
