vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,1465,6.667,3.0,0.033,0.027,0.022
100,5952,3.333,6.667,0.081,0.256,0.78
150,13556,6.0,13.0,0.378,1.311,2.672
200,24106,5.667,18.667,0.713,3.618,6.464
250,37407,7.0,12.0,1.699,3.663,3.257
300,53939,4.333,7.0,1.688,3.861,21.044
350,73359,4.667,12.0,2.372,8.833,3.349
400,95859,7.667,4.667,6.659,4.963,2.778
450,121522,9.0,14.333,10.228,20.05,33.665
500,149867,7.333,22.0,10.561,38.805,76.444
