vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,5113,6.333,12.0,0.156,0.343,0.28
200,10187,6.0,4.0,0.321,0.281,1.291
300,15216,4.333,13.333,0.497,1.953,0.468
400,20506,6.667,4.0,1.147,0.862,5.299
500,25614,4.333,24.0,1.048,8.304,15.02
600,30481,6.0,18.333,1.983,7.101,13.643
700,35527,4.333,27.0,1.39,12.83,16.172
800,40619,5.0,17.0,2.649,11.307,53.651
900,46054,7.333,21.0,3.717,14.416,20.297
1000,50962,7.667,22.0,5.931,16.314,16.131
