vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,4076,5.333,9.333,0.091,0.236,0.136
200,8057,4.667,14.0,0.257,0.923,1.569
300,12368,4.667,10.0,0.401,1.112,0.791
400,16192,7.333,19.333,0.933,2.938,4.277
500,20601,9.0,11.333,2.019,3.027,6.027
600,24532,6.0,15.0,1.322,4.797,0.628
700,28771,5.333,5.0,1.839,2.048,1.502
800,32552,5.333,15.0,2.076,6.842,13.666
900,36826,5.333,16.0,2.313,10.825,59.166
1000,40883,4.667,36.0,2.446,28.058,65.126
