vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,516,1.667,8.0,0.003,0.021,0.035
100,2029,2.0,4.333,0.017,0.052,0.07
150,4604,4.0,9.0,0.107,0.291,1.282
200,8039,2.667,11.0,0.135,0.64,0.567
250,12633,1.333,7.0,0.079,0.727,3.08
300,18212,2.0,4.0,0.274,0.699,0.617
350,24878,2.0,18.333,0.398,4.484,5.875
400,32032,2.667,7.667,0.767,3.06,12.595
450,40742,1.667,5.667,0.577,2.56,1.088
500,50775,2.0,33.0,1.199,21.31,43.843
