vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,990,2.667,3.667,0.009,0.026,0.032
100,4060,1.333,13.0,0.021,0.31,0.608
150,9050,1.667,12.667,0.075,0.861,1.188
200,16105,1.333,14.0,0.1,1.726,1.99
250,24983,1.333,7.0,0.171,1.395,7.346
300,36112,1.667,15.0,0.399,5.023,5.432
350,49081,2.0,16.0,0.694,7.756,25.319
400,64110,1.667,9.333,0.957,7.834,10.082
450,80988,1.667,13.333,1.069,11.945,55.764
500,100164,1.333,8.0,0.834,8.534,3.827
