vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,2450,1.667,2.333,0.012,0.04,0.05
100,9900,1.667,20.333,0.075,1.269,0.917
150,22350,1.333,14.0,0.116,1.937,1.435
200,39800,1.333,26.0,0.24,7.477,1.601
250,62250,1.0,35.0,0.293,18.463,27.605
300,89700,1.333,10.0,0.762,8.521,47.166
350,122150,1.333,19.333,1.149,24.82,75.178
400,159600,1.0,17.0,0.713,26.401,42.467
450,202050,1.0,8.0,0.969,17.864,5.048
500,249500,1.0,14.0,1.429,46.336,30.229
