vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,7826,,18,41665,41665,0.269,1.496
100,15152,37765,13,37487,37487,3.044,2.169
150,27330,,20,30987,30987,9.266,4.603
200,44390,,19,29880,29880,13.364,8.407
250,66416,21459,26,20675,20675,2.227,18.007
300,93149,21251,13,20674,20674,47.998,12.903
350,124950,13911,6,13905,13905,3.339,7.772
400,161522,,36,11064,11064,93.77,61.026
450,203095,5314,19,5176,5176,24.026,35.819
500,249500,817,8,784,784,16.318,28.352
