vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,2450,1025,2,1023,1023,0.038,0.057
100,9900,2186,21,1229,1229,0.752,1.308
150,22350,1446,14,911,911,1.066,1.921
200,39800,1451,26,939,939,1.111,7.331
250,62250,1730,35,843,843,24.03,18.897
300,89700,978,10,921,921,41.496,8.595
350,122150,1662,21,797,797,69.948,31.234
400,159600,927,17,779,779,36.315,26.044
450,202050,866,8,789,789,2.78,16.966
500,249500,835,14,749,749,25.298,46.183
