vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,1465,1814,4,1730,1730,0.024,0.045
100,5952,1885,7,1828,1828,0.886,0.27
150,13556,,14,1625,1625,2.557,1.388
200,24106,2178,19,1623,1623,6.396,3.601
250,37407,1658,12,1406,1406,3.029,3.589
300,53939,2101,7,1400,1400,21.408,3.676
350,73359,1480,12,1449,1449,2.498,8.59
400,95859,1572,4,1568,1568,2.776,4.273
450,121522,1594,12,1495,1495,39.078,16.773
500,149867,1632,22,1413,1413,74.22,38.194
