vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,1950,1365,6,1160,1160,0.126,0.078
100,7981,1220,1,1220,1220,0.14,0.086
150,17977,1489,10,1107,1107,2.29,1.374
200,31914,1914,12,1186,1186,9.375,3.388
250,49824,1099,10,1053,1053,0.929,4.197
300,71739,1114,7,1087,1087,8.579,4.265
350,97645,1307,10,1134,1134,20.992,11.188
400,127755,1066,7,1037,1037,3.506,8.78
450,161833,1027,14,994,994,63.559,27.049
500,199586,1028,14,966,966,123.718,37.7
