vertices,edges,iterations,matroid,edmonds,greedy,avg_edmonds_time,avg_matroid_time
50,990,3,2507,2507,,0.024,0.026
100,4060,13,2678,2678,,0.5,0.301
150,9050,15,2433,2433,2859,0.908,1.008
200,16105,14,2538,2538,,1.431,1.709
250,24983,7,2395,2395,2603,6.027,1.365
300,36112,17,2344,2344,2798,5.204,5.687
350,49081,16,2406,2406,,22.311,7.391
400,64110,11,2256,2256,2287,8.441,8.926
450,80988,13,2428,2428,,48.013,11.16
500,100164,8,2432,2432,2458,2.534,7.958
