vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,3111,4.333,4.0,0.173,0.193,0.107
200,6157,3.667,18.0,0.357,1.994,0.808
300,9306,4.0,6.0,0.605,1.027,1.494
400,12331,3.667,20.667,0.817,5.388,3.532
500,15536,5.667,15.333,1.798,5.226,3.463
600,18677,4.0,21.0,1.439,8.838,1.939
700,21642,6.667,18.0,2.931,8.84,2.139
800,24869,4.667,39.0,2.534,23.843,20.285
900,27945,3.0,11.0,1.577,7.491,23.93
1000,31224,5.333,19.0,4.01,16.009,37.609
