vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,5113,6.333,12.0,0.455,0.902,0.236
200,10187,6.0,4.0,1.006,0.722,1.207
300,15216,4.333,13.333,1.156,3.955,0.44
400,20506,6.667,4.0,2.661,1.668,4.764
500,25614,4.333,24.0,2.09,13.966,12.934
600,30481,6.0,18.333,3.845,12.891,11.566
700,35527,4.333,27.0,2.947,22.315,13.918
800,40619,5.0,17.0,4.67,17.6,46.705
900,46054,7.333,21.0,7.588,23.885,17.367
1000,50962,7.667,22.0,9.941,26.738,13.877
