vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,1950,4.667,6.0,0.105,0.167,0.121
100,7981,4.667,1.0,0.537,0.145,0.146
150,17977,6.333,9.333,1.807,2.897,2.846
200,31914,6.333,10.667,3.394,6.402,8.752
250,49824,6.333,12.667,5.651,12.148,1.428
300,71739,7.667,7.0,9.984,9.91,8.633
350,97645,7.667,10.0,16.062,21.359,20.359
400,127755,7.333,7.0,18.919,19.087,3.483
450,161833,7.667,14.0,26.55,51.777,63.54
500,199586,7.0,14.333,30.879,72.19,138.26
