vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,2450,8.0,3.0,0.259,0.11,0.052
100,9900,6.333,22.667,0.935,3.5,0.728
150,22350,7.333,15.667,2.626,5.901,1.407
200,39800,7.333,24.0,4.857,16.637,1.506
250,62250,8.667,32.667,10.045,37.224,23.692
300,89700,7.667,10.0,12.996,18.352,41.35
350,122150,11.667,21.0,30.641,56.139,71.359
400,159600,10.0,17.0,32.355,60.362,49.416
450,202050,8.667,8.0,44.232,42.337,4.698
500,249500,6.333,14.0,37.785,89.191,29.032
