vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,516,10.333,10.333,0.069,0.064,0.029
100,2029,4.667,4.0,0.124,0.127,0.083
150,4604,5.333,11.0,0.363,0.823,1.144
200,8039,6.667,11.0,0.877,1.555,0.415
250,12633,5.667,7.0,1.151,1.606,2.69
300,18212,7.667,4.0,2.738,1.46,0.559
350,24878,8.333,18.667,4.106,9.124,5.133
400,32032,7.0,8.667,4.421,6.063,11.533
450,40742,8.333,5.0,7.47,4.251,0.824
500,50775,5.333,28.667,5.949,32.452,37.399
