vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,1465,6.667,3.0,0.117,0.062,0.022
100,5952,3.333,6.667,0.242,0.61,0.805
150,13556,6.0,13.0,1.218,2.942,2.594
200,24106,5.667,18.667,2.184,8.221,6.32
250,37407,7.0,12.0,4.579,8.237,3.135
300,53939,4.333,7.0,4.07,7.755,20.626
350,73359,4.667,12.0,6.155,17.738,3.449
400,95859,7.667,4.667,15.276,9.601,2.832
450,121522,9.0,14.333,23.224,38.176,33.391
500,149867,7.333,22.0,23.968,74.171,76.502
