vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
100,3111,4250,4,3583,3583,0.085,0.185
200,6157,,18,7467,7467,0.78,1.991
300,9306,10312,6,9774,9774,1.134,1.022
400,12331,,21,12891,12891,3.345,5.446
500,15536,16322,12,16116,16116,3.429,4.065
600,18677,,21,18872,18872,1.873,8.696
700,21642,23025,18,22364,22364,2.039,8.608
800,24869,,52,26247,26247,20.312,32.114
900,27945,,11,28289,28289,23.787,7.551
1000,31224,,19,30994,30994,37.289,15.895
