vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
100,2078,4822,5,4022,4022,0.078,0.15
200,4080,10295,7,10056,10056,0.264,0.47
300,6292,14845,21,14495,14495,1.279,2.53
400,8350,,10,17496,17496,1.759,1.69
500,10359,,20,22941,22941,2.173,4.513
600,12507,28798,7,28700,28700,0.374,1.934
700,14731,,13,31266,31266,3.897,4.227
800,16717,37592,8,37542,37542,0.505,3.153
900,18829,,6,42426,42426,5.373,2.907
1000,21289,,20,45998,45998,7.809,11.396
