vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
100,1102,9004,2,8990,8990,0.07,0.033
200,2169,,15,19396,19396,0.57,0.544
300,3341,,8,24232,24232,0.238,0.517
400,4438,,13,34013,34013,0.228,1.128
500,5570,,16,41916,41916,1.627,1.934
600,6641,,4,50378,50378,5.683,0.576
700,7824,62516,4,62382,62382,0.299,0.706
800,8827,,19,69924,69924,1.331,3.98
900,9618,,19,82217,82217,1.39,4.334
1000,11025,,7,88342,88342,0.264,1.909
