vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
100,3111,4250,4,3583,3583,0.086,0.072
200,6157,,18,7467,7467,0.77,0.917
300,9306,10312,6,9774,9774,1.121,0.452
400,12331,,21,12891,12891,3.206,2.848
500,15536,16322,12,16116,16116,3.447,2.374
600,18677,,21,18872,18872,1.836,4.873
700,21642,23025,18,22364,22364,2.12,4.781
800,24869,,52,26247,26247,20.597,19.574
900,27945,,11,28289,28289,25.359,4.683
1000,31224,,19,30994,30994,37.035,10.556
