vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
100,2078,4822,5,4022,4022,0.127,0.068
200,4080,10295,7,10056,10056,0.274,0.215
300,6292,14845,21,14495,14495,1.122,1.241
400,8350,,10,17496,17496,1.753,0.939
500,10359,,20,22941,22941,2.096,2.554
600,12507,28798,7,28700,28700,0.411,1.098
700,14731,,13,31266,31266,4.07,2.309
800,16717,37592,8,37542,37542,0.462,1.875
900,18829,,6,42426,42426,5.494,1.839
1000,21289,,20,45998,45998,8.644,7.683
