vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
100,4076,2841,8,2619,2619,0.126,0.169
200,8057,5760,14,5006,5006,1.105,0.897
300,12368,6728,10,6418,6418,0.577,1.082
400,16192,,19,10814,10814,2.814,2.665
500,20601,,10,12035,12035,5.554,2.311
600,24532,15510,15,15242,15242,0.598,4.541
700,28771,16607,5,16594,16594,1.496,1.923
800,32552,,15,18265,18265,11.556,6.533
900,36826,,16,21187,21187,52.466,10.253
1000,40883,,36,24527,24527,56.698,26.966
