vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
100,5113,2499,12,1967,1967,0.23,0.341
200,10187,4017,3,3997,3997,1.147,0.226
300,15216,6019,13,5683,5683,0.406,1.881
400,20506,,4,7550,7550,4.467,0.817
500,25614,,24,9296,9296,12.786,7.765
600,30481,13196,18,12634,12634,12.046,6.325
700,35527,,27,12625,12625,14.299,12.154
800,40619,,17,15220,15220,51.116,11.019
900,46054,,23,17210,17210,20.918,15.429
1000,50962,,22,19301,19301,11.763,15.215
