vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
100,1102,9004,2,8990,8990,0.028,0.015
200,2169,,15,19396,19396,0.617,0.261
300,3341,,8,24232,24232,0.296,0.259
400,4438,,13,34013,34013,0.254,0.538
500,5570,,16,41916,41916,1.73,1.074
600,6641,,4,50378,50378,5.968,0.302
700,7824,62516,4,62382,62382,0.26,0.425
800,8827,,19,69924,69924,1.247,2.414
900,9618,,19,82217,82217,1.356,2.557
1000,11025,,7,88342,88342,0.272,1.325
