vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,4076,1.333,8.333,0.02,0.194,0.177
200,8057,2.0,14.0,0.102,0.915,1.493
300,12368,1.667,10.0,0.122,1.121,0.754
400,16192,2.0,18.333,0.233,2.887,4.095
500,20601,1.667,10.0,0.317,2.502,6.133
600,24532,1.667,15.0,0.333,4.881,0.633
700,28771,2.0,5.0,0.596,2.076,1.631
800,32552,1.667,15.0,0.559,6.914,13.627
900,36826,1.333,16.0,0.499,11.157,61.54
1000,40883,1.0,36.333,0.324,28.416,64.677
