vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
100,3111,1.333,4.0,0.013,0.072,0.103
200,6157,2.0,18.0,0.089,0.958,0.923
300,9306,2.0,6.0,0.117,0.506,1.73
400,12331,2.0,21.0,0.196,3.031,3.785
500,15536,1.667,12.0,0.228,2.633,3.759
600,18677,2.0,21.0,0.401,5.394,2.048
700,21642,1.667,18.0,0.277,5.028,2.214
800,24869,1.667,54.0,0.447,21.883,22.836
900,27945,2.0,13.333,0.583,5.621,27.391
1000,31224,1.667,19.0,0.624,10.781,42.8
