vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,516,,8,4646,4646,0.029,0.054
100,2029,5560,4,5528,5528,0.079,0.116
150,4604,5294,11,5219,5219,1.109,0.844
200,8039,,10,4962,4962,0.369,1.412
250,12633,,7,4786,4786,2.69,1.664
300,18212,4798,4,4770,4770,0.513,1.415
350,24878,,18,4947,4947,5.018,8.87
400,32032,5126,8,5027,5027,11.443,5.673
450,40742,4775,5,4728,4728,0.74,4.257
500,50775,,33,4920,4920,37.773,37.48
