vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,1465,1814,4,1730,1730,0.024,0.091
100,5952,1885,7,1828,1828,0.634,0.638
150,13556,,14,1625,1625,2.691,3.193
200,24106,2178,19,1623,1623,6.236,8.276
250,37407,1658,12,1406,1406,3.045,8.234
300,53939,2101,7,1400,1400,21.057,7.705
350,73359,1480,12,1449,1449,2.472,17.63
400,95859,1572,4,1568,1568,2.765,8.171
450,121522,1594,12,1495,1495,38.493,32.149
500,149867,1632,22,1413,1413,73.102,73.714
