vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,1950,1365,6,1160,1160,0.124,0.18
100,7981,1220,1,1220,1220,0.141,0.157
150,17977,1489,10,1107,1107,2.25,3.091
200,31914,1914,12,1186,1186,8.879,7.212
250,49824,1099,10,1053,1053,1.103,9.538
300,71739,1114,7,1087,1087,8.375,9.755
350,97645,1307,10,1134,1134,20.123,21.106
400,127755,1066,7,1037,1037,3.598,18.694
450,161833,1027,14,994,994,62.996,50.876
500,199586,1028,14,966,966,121.208,66.459
