vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,2450,1025,2,1023,1023,0.035,0.094
100,9900,2186,21,1229,1229,0.719,3.259
150,22350,1446,14,911,911,1.057,5.004
200,39800,1451,26,939,939,1.096,17.849
250,62250,1730,35,843,843,23.253,39.871
300,89700,978,10,921,921,39.172,18.165
350,122150,1662,21,797,797,66.512,54.831
400,159600,927,17,779,779,33.379,54.894
450,202050,866,8,789,789,3.586,34.562
500,249500,835,14,749,749,23.818,80.817
