vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,2450,1.667,2.333,0.032,0.097,0.177
100,9900,1.667,20.333,0.165,3.311,0.786
150,22350,1.333,14.0,0.218,5.196,1.341
200,39800,1.333,26.0,0.447,19.08,1.7
250,62250,1.0,35.0,0.299,41.758,26.153
300,89700,1.333,10.0,1.181,18.429,41.609
350,122150,1.333,19.333,1.768,51.837,67.08
400,159600,1.0,17.0,0.733,56.562,38.397
450,202050,1.0,8.0,0.954,35.799,4.149
500,249500,1.0,14.0,1.457,83.675,25.863
