vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,1950,1.667,6.333,0.025,0.187,0.128
100,7981,1.667,1.0,0.122,0.147,0.153
150,17977,1.667,10.0,0.29,3.144,2.963
200,31914,1.0,12.0,0.136,7.333,9.093
250,49824,1.0,10.0,0.198,9.675,1.23
300,71739,1.667,5.333,1.387,7.679,6.484
350,97645,1.0,10.0,0.613,21.525,21.084
400,127755,1.0,7.0,0.646,19.285,3.564
450,161833,1.0,14.0,0.916,52.278,63.931
500,199586,1.0,14.0,1.299,69.936,136.83
