vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,1465,1.667,3.667,0.011,0.078,0.027
100,5952,1.667,7.0,0.092,0.678,0.879
150,13556,1.667,13.333,0.234,3.287,3.022
200,24106,1.0,19.0,0.097,8.433,6.397
250,37407,1.667,12.0,0.722,8.341,3.165
300,53939,1.333,7.0,0.725,7.8,20.918
350,73359,1.333,12.0,0.951,18.776,3.639
400,95859,1.0,4.0,0.537,8.644,3.135
450,121522,1.667,12.0,2.796,33.166,39.51
500,149867,1.0,22.0,0.966,75.485,75.759
