vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,7826,,18,41665,41665,0.277,2.953
100,15152,37765,13,37487,37487,2.844,3.928
150,27330,,20,30987,30987,8.959,9.864
200,44390,,19,29880,29880,13.266,16.698
250,66416,21459,26,20675,20675,2.571,35.364
300,93149,21251,13,20674,20674,48.973,25.384
350,124950,13911,6,13905,13905,3.122,16.039
400,161522,,36,11064,11064,93.906,124.988
450,203095,5314,19,5176,5176,24.793,79.351
500,249500,817,8,784,784,16.524,48.739
